# x,top,bottom,cryosphere,recharge
9.049999999999999711e-02,8.034845212818735316e-01,2.245434877919255945e-01,6.617443392669503099e-01,nan
9.149999999999999800e-02,8.038182054273051991e-01,2.250409153152039265e-01,6.622738637137205453e-01,nan
9.249999999999999889e-02,8.041518895727369776e-01,2.255383428384822586e-01,6.628033881604907807e-01,nan
9.349999999999999978e-02,8.044855737181687561e-01,2.260357703617605907e-01,6.633329126072609050e-01,nan
9.450000000000000067e-02,8.048192578636005345e-01,2.265331978850389227e-01,6.638624370540311403e-01,nan
9.550000000000000155e-02,8.051529420090322020e-01,2.270306254083172548e-01,6.643919615008013757e-01,nan
9.650000000000000244e-02,8.054866261544639805e-01,2.275280529315955869e-01,6.650832901947694165e-01,nan
9.750000000000000333e-02,8.058203102998957590e-01,2.280254804548739189e-01,6.657966411166262866e-01,nan
9.850000000000000422e-02,8.061539944453275375e-01,2.285229079781522510e-01,6.665099920384832677e-01,nan
9.950000000000000511e-02,8.064876785907593160e-01,2.290203355014305830e-01,6.672233429603401378e-01,nan
1.005000000000000060e-01,8.068213627361909834e-01,2.295177630247089151e-01,6.679366938821971189e-01,nan
1.015000000000000069e-01,8.074061696707833802e-01,2.300151905479872472e-01,6.686500448040539890e-01,nan
1.025000000000000078e-01,8.080814714611318506e-01,2.305126180712655792e-01,6.693633957259109701e-01,nan
1.035000000000000087e-01,8.087567732514803209e-01,2.310100455945439113e-01,6.700767466477679513e-01,nan
1.044999999999999957e-01,8.094320750418287913e-01,2.315074731178222434e-01,6.707900975696248214e-01,nan
1.054999999999999966e-01,8.101073768321772617e-01,2.320049006411005754e-01,6.715034484914818025e-01,nan
1.064999999999999974e-01,8.107826786225257321e-01,2.325023281643789075e-01,6.722167994133386726e-01,nan
1.074999999999999983e-01,8.114579804128742024e-01,2.329997556876572118e-01,6.729301503351956537e-01,nan
1.084999999999999992e-01,8.121332822032226728e-01,2.334971832109355439e-01,6.736435012570525238e-01,nan
1.095000000000000001e-01,8.128085839935711432e-01,2.339946107342138759e-01,6.743568521789095049e-01,nan
1.105000000000000010e-01,8.134838857839196136e-01,2.344920382574922080e-01,6.750702031007664861e-01,nan
1.115000000000000019e-01,8.141591875742680839e-01,2.349894657807705400e-01,6.757835540226233562e-01,nan
1.125000000000000028e-01,8.148344893646165543e-01,2.354868933040488721e-01,6.764969049444803373e-01,nan
